timestamp,yaw,pitch,roll
0.0,3.8508,4.6718,-22.8387
0.1,3.948,4.915,-20.5746
0.2,4.1036,5.2072,-19.6058
0.3,4.2859,5.4932,-19.7037
0.4,4.4634,5.7177,-20.64
0.5,4.6046,5.8253,-22.1859
0.6,4.5017,5.3177,-24.1349
0.7,4.2623,5.0544,-26.3193
0.8,4.2328,4.8232,-27.9711
0.9,4.451,4.4626,-28.8697
1.0,4.8118,3.4871,-29.2526
1.1,5.5045,2.0351,-29.3429
1.2,5.5759,0.4655,-29.321
1.3,5.5884,-0.4112,-29.0482
1.4,5.7946,-1.0471,-28.54
1.5,5.6253,-1.511,-27.6372
1.6,5.2169,-1.8725,-26.6809
1.7,4.5517,-1.8798,-25.828
1.8,4.5365,-1.7727,-24.4771
1.9,4.7133,-1.2531,-23.2287
2.0,4.6225,-0.6234,-22.5981
2.1,4.3188,-1.3274,-22.8274
2.2,3.6303,-2.3473,-23.8925
2.3,3.3416,-2.7572,-24.5069
2.4,3.1516,-3.1458,-24.8209
2.5,3.0104,-3.4676,-24.8496
2.6,3.2873,-3.6507,-24.9319
2.7,3.8429,-3.6684,-25.2816
2.8,4.8228,-3.3596,-25.1428
2.9,5.7117,-2.2979,-24.8791
3.0,6.4958,-1.4575,-24.3796
3.1,6.7987,-0.8506,-24.3027
3.2,7.1872,0.1844,-24.413
3.3,7.478,2.3542,-24.1989
3.4,7.2577,4.5348,-23.7135
3.5,6.8019,5.4864,-22.8564
3.6,6.3754,6.13,-22.1431
3.7,5.7933,5.6024,-22.0575
3.8,5.6113,4.3999,-21.5544
3.9,5.007,2.6125,-20.9726
4.0,4.511,0.5782,-20.2972
4.1,4.0833,-0.6793,-19.8686
4.2,4.1165,-1.5376,-19.6196
4.3,3.833,-1.763,-19.5939
4.4,3.5964,-1.9016,-19.4183
4.5,3.5416,-2.3347,-19.1463
4.6,3.4485,-2.5045,-19.1678
4.7,3.3619,-2.9197,-19.1466
4.8,3.6412,-2.9509,-18.3379
4.9,3.5506,-2.8086,-17.4817
5.0,3.7748,-2.6559,-16.7852
5.1,4.023,-2.3438,-16.3988
5.2,4.4098,-2.0292,-16.5052
5.3,4.4448,-2.3873,-17.3171
5.4,4.352,-2.415,-18.1633
5.5,3.9879,-3.5567,-18.9032
5.6,3.7346,-4.7126,-19.054
5.7,3.6552,-5.5599,-18.3863
5.8,3.7423,-6.0911,-17.5647
5.9,3.8994,-6.4783,-17.1929
6.0,4.5361,-6.7926,-17.2211
6.1,4.9587,-6.3979,-17.7067
6.2,5.5253,-5.743,-18.7412
6.3,5.4651,-5.1961,-19.7952
6.4,5.3899,-3.8337,-20.0354
6.5,4.8589,-3.4131,-19.7601
6.6,4.3781,-2.7346,-18.8395
6.7,3.7866,-1.9154,-17.7946
6.8,3.3429,-0.2199,-17.0754
6.9,3.1834,2.2395,-16.7051
7.0,3.5775,5.3297,-16.6869
7.1,3.9742,8.6748,-17.3118
7.2,4.6161,12.3073,-18.3821
7.3,4.8495,15.2355,-19.6738
7.4,5.2419,17.532,-20.4234
7.5,5.152,17.8483,-21.0589
7.6,4.9362,16.8013,-21.4197
7.7,4.5688,14.7366,-21.9893
7.8,4.2012,12.8683,-22.4247
7.9,4.0853,10.4246,-22.08
8.0,4.1864,7.8575,-20.9338
8.1,4.0917,5.2748,-19.5496
8.2,3.7396,3.3788,-18.0699
8.3,2.9527,1.803,-16.9405
8.4,2.2306,0.1495,-15.7331
8.5,1.5866,-1.7108,-14.9165
8.6,1.2499,-3.4168,-14.6837
8.7,1.009,-4.653,-15.6146
8.8,0.9643,-5.1466,-17.2275
8.9,1.3179,-6.4524,-18.5406
9.0,1.3618,-6.8531,-19.513
9.1,1.7845,-7.1704,-20.3118
9.2,1.7298,-7.0502,-21.6035
9.3,1.6042,-7.0475,-22.6232
9.4,1.9452,-8.1118,-22.6732
9.5,1.9296,-8.6978,-22.2862
9.6,1.9675,-9.3664,-21.538
9.7,1.7306,-9.6945,-20.5357
9.8,1.626,-9.6798,-19.4475
9.9,1.2512,-9.768,-18.4471
10.0,0.6844,-9.0238,-17.9266
10.1,0.6041,-8.4152,-18.2304
10.2,0.2271,-7.8274,-19.8239
10.3,0.1225,-7.6728,-21.5227
10.4,0.5557,-7.7746,-22.4847
10.5,0.4222,-7.644,-23.6843
10.6,0.5471,-8.0096,-24.4196
10.7,0.6248,-8.133,-24.1647
10.8,0.6521,-8.2346,-23.4952
10.9,0.3363,-8.3349,-22.8745
11.0,0.088,-8.7026,-22.2617
11.1,-0.0651,-9.1805,-21.5714
11.2,0.2177,-9.4323,-20.9153
11.3,0.4184,-9.6532,-20.6147
11.4,0.5549,-9.5832,-20.6113
11.5,0.6489,-9.2771,-21.3634
11.6,0.9057,-9.4361,-22.1277
11.7,0.9633,-9.4042,-22.5588
11.8,1.0742,-9.5196,-22.6609
11.9,1.2121,-9.9901,-22.7755
12.0,1.1779,-10.7902,-22.7425
12.1,1.3424,-11.9922,-22.1178
12.2,1.9315,-12.6792,-20.8186
12.3,2.0465,-13.3208,-19.9026
12.4,1.7738,-13.5598,-19.3299
12.5,0.7205,-13.9286,-19.0042
