timestamp,yaw,pitch,roll
0.0,1.8617,3.9502,-27.8204
0.1,2.6545,4.8609,-29.613
0.2,2.3277,6.2083,-28.6617
0.3,1.1871,7.782,-25.7172
0.4,-0.4613,9.3712,-21.5302
0.5,-2.3118,10.7654,-16.8515
0.6,-3.2416,11.1816,-13.3196
0.7,-3.9001,11.1164,-10.8347
0.8,-4.5565,10.9082,-9.5777
0.9,-6.2754,10.6006,-8.5787
1.0,-8.4177,10.6895,-8.01
1.1,-10.6677,10.806,-7.8418
1.2,-12.508,10.8983,-8.6309
1.3,-14.0495,11.2293,-10.1106
1.4,-14.1216,11.3388,-12.4024
1.5,-12.8771,11.5128,-15.9734
1.6,-9.3255,10.1502,-19.765
1.7,-5.2402,8.8821,-23.2636
1.8,-1.7069,7.194,-25.2295
1.9,0.7182,5.3962,-24.4403
2.0,2.1908,3.4101,-21.8395
2.1,2.5799,1.8921,-18.3855
2.2,2.0904,0.9748,-14.7668
2.3,0.896,0.5381,-12.016
2.4,-0.0476,0.7621,-10.2198
2.5,-1.0838,1.7542,-9.5511
2.6,-2.3069,2.9564,-9.8702
2.7,-3.5401,3.9698,-10.9674
2.8,-4.33,4.0255,-12.1017
2.9,-4.6535,4.0764,-13.2001
3.0,-4.6321,4.2883,-14.6255
3.1,-4.0124,4.7351,-16.5269
3.2,-2.5096,5.3206,-17.9671
3.3,-0.6719,5.3927,-19.4272
3.4,1.0983,4.617,-20.7523
3.5,2.3622,2.404,-22.3195
3.6,3.5329,-0.0402,-23.7287
3.7,4.2023,-2.0806,-24.9291
3.8,4.6232,-4.2304,-25.6244
3.9,3.9899,-4.9541,-25.7189
4.0,3.0599,-4.5863,-25.1129
4.1,2.0867,-3.4464,-23.6117
4.2,1.0249,-1.6728,-21.1743
4.3,0.1607,0.5036,-18.9122
4.4,-0.6659,1.3855,-17.2603
4.5,-0.9683,0.9746,-16.5274
4.6,-0.7133,0.4502,-16.6605
4.7,0.0811,0.6218,-17.5947
4.8,1.1869,0.5544,-19.2647
4.9,2.132,0.4659,-20.9019
5.0,2.9909,-0.4336,-22.0832
5.1,3.4167,-1.3886,-22.547
5.2,3.5853,-2.2459,-22.3409
5.3,3.1636,-2.9589,-21.9593
5.4,1.5774,-4.0204,-21.6068
5.5,-0.1125,-5.5589,-21.0498
5.6,-1.777,-7.1575,-20.2385
5.7,-2.8,-7.8837,-19.2956
5.8,-3.004,-7.4881,-18.7548
5.9,-2.8056,-7.4913,-18.774
6.0,-2.2021,-7.5841,-19.0145
6.1,-1.343,-7.2323,-19.0928
6.2,0.0408,-7.3897,-18.8404
6.3,0.7132,-7.7413,-18.7849
6.4,1.0113,-7.874,-18.9422
6.5,1.1763,-8.3083,-19.1666
6.6,1.4161,-8.3728,-18.9643
6.7,1.5578,-8.305,-18.6263
6.8,2.0904,-7.5811,-18.0345
6.9,2.0176,-7.5159,-17.9876
7.0,1.7243,-6.9589,-18.1843
7.1,1.5138,-7.032,-18.4252
7.2,1.4237,-7.3707,-18.6238
7.3,1.5201,-7.3396,-18.8744
7.4,1.8079,-7.2471,-19.3078
7.5,1.1542,-7.3523,-20.0489
7.6,0.5613,-7.3107,-20.6563
7.7,0.6537,-7.1822,-21.0746
7.8,2.9982,-6.827,-20.7538
7.9,6.2479,-7.0848,-20.3252
8.0,10.2325,-7.1957,-19.4428
8.1,14.6547,-7.678,-18.2366
8.2,18.7391,-7.867,-16.1603
8.3,21.9489,-8.4401,-14.0943
8.4,24.0459,-8.8254,-12.4378
8.5,24.0536,-9.3703,-11.915
8.6,23.7987,-8.9464,-12.106
8.7,23.7784,-8.233,-12.6041
8.8,24.6736,-7.2204,-13.2041
8.9,25.3298,-6.0783,-13.9296
9.0,25.6162,-4.7758,-14.2405
9.1,25.6382,-3.9151,-14.0807
9.2,25.3953,-3.5875,-13.2665
9.3,24.899,-3.8468,-12.7624
9.4,24.7003,-4.1794,-12.4061
9.5,24.4657,-4.8769,-12.6068
9.6,24.8454,-5.2529,-13.0016
9.7,25.2997,-5.7287,-13.4551
9.8,25.7061,-5.6844,-14.0426
9.9,26.0967,-5.5295,-14.5842
10.0,26.1825,-5.5019,-15.5029
10.1,26.5629,-5.7613,-16.5604
10.2,27.0826,-5.4568,-17.9839
10.3,27.5382,-4.9995,-19.1572
10.4,27.9068,-4.4924,-20.0304
10.5,28.1659,-4.0249,-20.5673
10.6,28.2936,-3.6733,-20.7457
10.7,28.2967,-3.57,-20.5625
10.8,28.1182,-3.6776,-20.0173
10.9,28.0169,-4.2311,-19.3947
11.0,27.8996,-4.7899,-19.1608
11.1,27.9412,-5.2432,-19.0819
11.2,27.8606,-5.2154,-19.2695
11.3,27.6785,-5.1027,-19.2371
11.4,27.4415,-4.8566,-19.1952
11.5,27.1695,-4.5257,-19.1473
11.6,26.8903,-4.1773,-19.0982
11.7,26.6398,-3.8985,-19.054
11.8,26.3892,-3.6196,-19.0098
11.9,26.1387,-3.3408,-18.9657
12.0,25.8881,-3.0619,-18.9215
12.1,25.6376,-2.7831,-18.8773
12.2,25.3871,-2.5043,-18.8331
12.3,25.1365,-2.2254,-18.7889
12.4,24.886,-1.9466,-18.7447
12.5,24.6354,-1.6677,-18.7005
12.6,24.3849,-1.3889,-18.6563
12.7,24.1344,-1.1101,-18.6121
12.8,23.8838,-0.8312,-18.5679
12.9,23.6333,-0.5524,-18.5237
13.0,23.3827,-0.2735,-18.4795
13.1,23.1322,0.0053,-18.4353
13.2,22.8816,0.2842,-18.3911
13.3,22.6311,0.563,-18.3469
13.4,22.3806,0.8418,-18.3027
13.5,22.13,1.1207,-18.2586
13.6,21.8795,1.3995,-18.2144
13.7,21.6289,1.6784,-18.1702
13.8,21.3784,1.9572,-18.126
13.9,21.1805,2.4071,-18.024
14.0,20.9319,2.768,-17.8418
14.1,20.6386,2.7829,-17.9669
14.2,20.0054,2.794,-18.0943
14.3,19.614,2.4541,-18.4534
14.4,19.4468,1.8431,-18.9436
14.5,19.48,1.0528,-19.4705
14.6,19.6833,0.1868,-19.9459
14.7,20.0208,-0.6394,-20.2882
14.8,20.4499,-1.2987,-20.422
14.9,20.922,-1.6522,-20.2782
15.0,21.2493,-1.9814,-19.9401
15.1,21.3706,-2.3158,-19.6952
15.2,21.151,-2.3787,-19.2459
15.3,21.1661,-2.6059,-18.9299
15.4,21.1811,-2.8331,-18.6138
15.5,21.8183,-3.3612,-18.5654
15.6,22.3,-3.6494,-18.0632
15.7,21.3891,-3.3875,-17.4291
15.8,19.3879,-2.8447,-16.7265
15.9,16.7871,-2.2629,-16.0138
16.0,13.8937,-1.5523,-15.3688
16.1,11.0289,-1.0677,-14.7796
16.2,8.5144,-0.7572,-14.2935
16.3,6.6852,-0.8009,-14.0704
16.4,6.3833,-1.1887,-14.3963
16.5,7.6473,-1.7316,-15.246
16.6,8.9458,-2.1273,-15.8527
16.7,9.245,-2.127,-16.5166
16.8,9.3281,-1.7703,-17.3181
16.9,9.5654,-1.3727,-18.2391
17.0,9.7191,-0.9187,-19.4102
17.1,9.7805,-1.1277,-20.3143
17.2,10.1027,-1.2572,-20.9316
17.3,10.6401,-1.5578,-21.4724
17.4,11.4808,-1.6885,-21.7987
17.5,11.8305,-1.3341,-21.7353
17.6,11.7678,-1.5619,-20.6984
17.7,11.2143,-1.3863,-18.9323
17.8,10.7507,-0.5179,-17.0664
17.9,10.5534,-0.4244,-15.5474
18.0,10.8054,-1.121,-14.1162
18.1,10.7041,-2.2362,-13.1547
18.2,10.6667,-2.7036,-12.8355
18.3,10.4981,-1.6433,-13.1434
18.4,9.9721,0.3669,-13.5458
18.5,9.2905,2.67,-14.0581
18.6,9.1776,3.6949,-14.0601
18.7,9.2776,4.2554,-14.9214
18.8,10.5732,4.6028,-16.1344
18.9,12.3487,4.0541,-17.0737
19.0,14.4306,3.0385,-17.3715
19.1,15.8112,2.4455,-17.3399
19.2,16.4349,1.8959,-17.8224
19.3,16.8243,1.7447,-18.3391
19.4,17.2414,1.7573,-18.0428
19.5,16.8642,1.4383,-17.4298
19.6,16.6844,0.632,-16.4279
19.7,16.1171,-0.0049,-16.0961
19.8,16.0875,0.1973,-15.5754
19.9,15.7793,1.3241,-14.546
20.0,15.328,2.1128,-13.7984
20.1,15.0362,3.3965,-13.0118
20.2,14.7133,3.377,-12.9718
20.3,14.6398,2.8137,-12.9413
20.4,14.9134,2.3709,-12.3545
